ASIN,Title,Binding,Creator,Edition,Author,ItemDimensionsHeight,ItemDimensionsLength,ItemDimensionsWidth,ItemDimensionsWeight,Label,LanguagesUnknown,LanguagesOriginal,LanguagesPublished,Amount,CurrencyCode,Manufacturer,NumberOfPages,PackageDimensionsHeight,PackageDimensionsLength,PackageDimensionsWidth,PackageDimensionsWeight,ProductGroup,ProductTypeName,PublicationDate,Publisher,SmallImageUrl,Studio,SalesRanking
1491707844,"From the Mouths of Babes Volume III",Hardcover," "," ","Shea, Mickie",8.86,0.75,5.91,5.91,iUniverse.com,english,english,english,30.95,USD,iUniverse.com,276,0.75,9.02,5.98,1.24,Book,ABIS_BOOK,2013-10-31,iUniverse.com,http://ecx.images-amazon.com/images/I/41DfMyrGxBL._SL75_.jpg,iUniverse.com," "
1491707879,"Our Journey Through Time and Existence: 3rd and Revised Edition",Hardcover," "," ","Schwab, Helmut",8.90,0.63,5.91,5.91,iUniverse.com,english,english,english,27.95,USD,iUniverse.com,210,1.02,9.13,6.14,1.06,Book,ABIS_BOOK,2013-11-06,iUniverse.com,http://ecx.images-amazon.com/images/I/51CGMusalZL._SL75_.jpg,iUniverse.com," "
1491707933,"The Vatican at War: From Blackfriars Bridge to Buenos Aires",Paperback," "," ","Willan, Philip",8.86,0.83,5.91,5.91,iUniverse,english,english,english,26.95,USD,iUniverse,412,0.93,9.00,6.00,1.53,Book,ABIS_BOOK,2013-09-23,iUniverse,http://ecx.images-amazon.com/images/I/41vFv5gZ2NL._SL75_.jpg,iUniverse,2213245
1491707976,"The All New American Diet",Paperback," "," ","Glassman, Todd D.",8.39,0.51,5.43,5.43,iUniverse,english,english,english,18.95,USD,iUniverse,224,0.51,8.50,5.50,0.78,Book,ABIS_BOOK,2013-10-18,iUniverse,http://ecx.images-amazon.com/images/I/51p-xk9i8mL._SL75_.jpg,iUniverse,2373750
1491708026,"The Incredible Sparrow",Paperback," "," ","Myers Jr., Frank K.",8.39,0.67,5.43,5.43,iUniverse,english,english,english,18.95,USD,iUniverse,304,0.76,8.50,5.50,1.02,Book,ABIS_BOOK,2013-10-09,iUniverse,http://ecx.images-amazon.com/images/I/51FfrvBu82L._SL75_.jpg,iUniverse," "
1491708034,"The Incredible Sparrow",Hardcover," "," ","Myers Jr, Frank K.",8.39,0.79,5.43,5.43,iUniverse.com,english,english,english,28.95,USD,iUniverse.com,304,0.81,8.50,5.51,1.15,Book,ABIS_BOOK,2013-10-09,iUniverse.com,http://ecx.images-amazon.com/images/I/51sWaKCARkL._SL75_.jpg,iUniverse.com,1629947
149170814X,"Wes Fairly II: North of the Border",Paperback," "," ","Jackson, Ted",8.86,0.16,5.91,5.91,iUniverse,english,english,english,8.95,USD,iUniverse,70,0.18,9.00,6.00,0.35,Book,ABIS_BOOK,2013-09-30,iUniverse,http://ecx.images-amazon.com/images/I/41CMcradwyL._SL75_.jpg,iUniverse,6206328
1491708298,"Reaper's Report",Paperback," "," ","Deschenes, Vana",8.39,0.20,5.43,5.43,iUniverse,english,english,english,9.95,USD,iUniverse,98,0.39,8.35,5.51,0.40,Book,ABIS_BOOK,2013-10-21,iUniverse,http://ecx.images-amazon.com/images/I/41kUg-rvSXL._SL75_.jpg,iUniverse,1740775
1491708344,"Long-Distance Running: Calming the Mind and Creating the Conditions for Happiness",Paperback," "," ","Naicker, Sigamoney Manicka",7.87,0.35,4.92,4.92,iUniverse,english,english,english,15.95,USD,iUniverse,170,0.39,8.00,5.00,0.54,Book,ABIS_BOOK,2013-09-23,iUniverse,http://ecx.images-amazon.com/images/I/41CSW6EAYLL._SL75_.jpg,iUniverse,5126533
1491708425,"Combat Medic: Nonfiction, None Needed",Hardcover," "," ","Parker, Vernon L.",8.86,0.55,5.91,5.91,iUniverse.com,english,english,english,25.95,USD,iUniverse.com,178,0.56,9.02,5.98,0.93,Book,ABIS_BOOK,2013-12-10,iUniverse.com,http://ecx.images-amazon.com/images/I/41ADSISqy9L._SL75_.jpg,iUniverse.com,3536084
