ASIN,Title,Binding,Creator,Edition,Author,ItemDimensionsHeight,ItemDimensionsLength,ItemDimensionsWidth,ItemDimensionsWeight,Label,LanguagesUnknown,LanguagesOriginal,LanguagesPublished,Amount,CurrencyCode,Manufacturer,NumberOfPages,PackageDimensionsHeight,PackageDimensionsLength,PackageDimensionsWidth,PackageDimensionsWeight,ProductGroup,ProductTypeName,PublicationDate,Publisher,SmallImageUrl,Studio,SalesRanking
149182588X,"I'll Be Seeing You: Musica Con Fuoco, Op. 4",Hardcover," "," ","Davis, M. Bradley",8.86,1.65,5.91,5.91,AuthorHouse,english,english,english,29.00,USD,AuthorHouse,690,2.20,9.13,6.38,2.65,Book,ABIS_BOOK,2013-11-05,AuthorHouse,http://ecx.images-amazon.com/images/I/51f-fHS742L._SL75_.jpg,AuthorHouse," "
1491825898,"I'll Be Seeing You: Musica Con Fuoco, Op. 4",Paperback," "," ","Davis, M. Bradley",8.86,1.50,5.91,5.91,AuthorHouse,english,english,english,26.00,USD,AuthorHouse,690,1.73,9.00,6.00,2.50,Book,ABIS_BOOK,2013-11-07,AuthorHouse,http://ecx.images-amazon.com/images/I/51K8AzxpBcL._SL75_.jpg,AuthorHouse," "
1491825944,"""All This Fun, and a Paycheck, too?"": A collection of stories from a long and satisfying engineering career; showing how much fun, worthy, and enriching  a technical life can be.",Paperback," "," ","Clifford, Tom",10.87,0.31,8.39,8.39,AuthorHouse,english,english,english,41.99,USD,AuthorHouse,148,0.40,10.80,8.50,0.85,Book,ABIS_BOOK,2013-11-27,AuthorHouse,http://ecx.images-amazon.com/images/I/51%2BmLGWaa%2BL._SL75_.jpg,AuthorHouse,1281471
1491825979,"Grandfather's Will",Paperback," "," ","Boyd, Gary B.",8.86,0.39,5.91,5.91,AuthorHouse,english,english,english,16.95,USD,AuthorHouse,176,0.44,9.00,6.00,0.71,Book,ABIS_BOOK,2013-10-22,AuthorHouse,http://ecx.images-amazon.com/images/I/414JVWhQK1L._SL75_.jpg,AuthorHouse,6642966
1491826223,"Chase Gets a Pen Pal",Paperback," "," ","Buttress, Peter",10.87,0.08,8.39,8.39,AuthorHouse,english,english,english,20.99,USD,AuthorHouse,36,0.09,11.00,8.50,0.32,Book,ABIS_BOOK,2013-10-22,AuthorHouse,http://ecx.images-amazon.com/images/I/51NIcj3GUFL._SL75_.jpg,AuthorHouse,1948506
1491826258,"Santa Needs a Siren",Paperback," "," ","Flanagan, Jim",8.39,0.12,8.39,8.39,AuthorHouse,english,english,english,17.00,USD,AuthorHouse,40,0.10,8.50,8.50,0.29,Book,ABIS_BOOK,2013-10-29,AuthorHouse,http://ecx.images-amazon.com/images/I/51cN7WlXKcL._SL75_.jpg,AuthorHouse,1777520
1491826371,"The Student",Hardcover," "," ","Butts, Philmore",8.86,0.75,5.91,5.91,AuthorHouse,english,english,english,28.99,USD,AuthorHouse,264,0.75,9.02,5.98,1.23,Book,ABIS_BOOK,2013-10-29,AuthorHouse,http://ecx.images-amazon.com/images/I/41iW44ACATL._SL75_.jpg,AuthorHouse," "
149182638X,"The Student",Paperback," "," ","Butts, Philmore",8.86,0.59,5.91,5.91,AuthorHouse,english,english,english,19.95,USD,AuthorHouse,264,0.66,9.00,6.00,1.02,Book,ABIS_BOOK,2013-10-30,AuthorHouse,http://ecx.images-amazon.com/images/I/41D98ipXI4L._SL75_.jpg,AuthorHouse," "
1491826401,"Savannah's Surprise",Paperback," "," ","Cordova, Olivia",10.83,0.08,8.39,8.39,AuthorHouse,english,english,english,19.99,USD,AuthorHouse,32,0.20,10.70,8.30,0.25,Book,ABIS_BOOK,2013-10-29,AuthorHouse,http://ecx.images-amazon.com/images/I/51rWNmHQbKL._SL75_.jpg,AuthorHouse,1959427
1491826436,"Wildflowers Fading into Winter",Paperback," "," ","Brown, Rebecca M.",8.90,0.59,5.91,5.91,AuthorHouse,english,english,english,19.95,USD,AuthorHouse,256,0.64,9.00,6.00,0.99,Book,ABIS_BOOK,2014-01-03,AuthorHouse,http://ecx.images-amazon.com/images/I/51Cryq989zL._SL75_.jpg,AuthorHouse," "
1491826452,"Prisoner of the Highway",Hardcover," "," ","Johnson, Paulie J.",8.86,0.94,5.91,5.91,AuthorHouse,english,english,english,31.99,USD,AuthorHouse,352,0.94,9.02,5.98,1.48,Book,ABIS_BOOK,2013-10-30,AuthorHouse,http://ecx.images-amazon.com/images/I/51OBpZXn-uL._SL75_.jpg,AuthorHouse," "
